,Unnamed: 0,Band,Song,ID_TRACK,POPULARITY,RELEASE_DATE,EXTERNAL_URLS,SEARCH_URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,The Beatles,Blackbird,5jgFfDIR6FR0gvlA56Nakr,72,1968-11-22,https://open.spotify.com/album/1klALx0u4AavZNEvC4LrTL,,0.686,0.127,-14.361,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,138387
1,1,Isaac Albéniz,Asturias ,2u6GTNZF07O4mmFg8CZozY,36,1981,https://open.spotify.com/album/5lY62FNmxjms4v3OMTGFWl,https://p.scdn.co/mp3-preview/5e9af1c3d16503e3c7979cf6f0d44dd3575c64e3?cid=f9d64942f5f74f3282916225d2f77630,0.32,0.171,-20.784,0.0594,0.967,0.884,0.104,0.217,112.092,372733
2,2,AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,84,1980-07-25,https://open.spotify.com/album/6mUdeDZCsExyJLMdAfDuwh,https://p.scdn.co/mp3-preview/41f8586f16bc642b45122e52041143789a8e00c0?cid=f9d64942f5f74f3282916225d2f77630,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493
3,3,Pachelbel,Canon in D Major,1Mse9NKBbEASi50CQ4aYhr,55,1986,https://open.spotify.com/album/5YCuibCDJrkVcS3UOAYqr9,https://p.scdn.co/mp3-preview/eaec965ecde7c7b9f51b63ed956491e4202ea407?cid=f9d64942f5f74f3282916225d2f77630,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587
4,4,Led Zeppelin,"Babe, I'm Gonna Leave You",4OMu5a8sFpcRCPCcsoEaov,61,1969-01-12,https://open.spotify.com/album/3ycjBixZf7S3WpC5WZhhUK,https://p.scdn.co/mp3-preview/e68e42946f936dc79065e8fe0a18636280476794?cid=f9d64942f5f74f3282916225d2f77630,0.404,0.435,-12.045,0.0323,0.246,0.00074,0.156,0.156,136.058,401067
5,5,Jimi Hendrix,Little Wing,1Eolhana7nKHYpcYpdVcT5,70,1967-12-01,https://open.spotify.com/album/3uFZf8rykoHo7XMIQVYW6r,https://p.scdn.co/mp3-preview/91c9fa6268ba55f5cb58201131ce06888eec4f51?cid=f9d64942f5f74f3282916225d2f77630,0.515,0.534,-8.045,0.0768,0.181,0.00278,0.0547,0.426,70.776,145747
6,6,Pink Floyd,Shine On You Crazy Diamond ,6pnwfWyaWjQiHCKTiZLItr,65,1975-09-12,https://open.spotify.com/album/0bCAjiUamIFqKJsekOYuRw,https://p.scdn.co/mp3-preview/fdc4738cec1421f40ed85d12010b620230b347f4?cid=f9d64942f5f74f3282916225d2f77630,0.264,0.294,-11.941,0.028,0.772,0.686,0.107,0.0402,137.937,811077
7,7,Kansas,Dust In The Wind,6zeE5tKyr8Nu882DQhhSQI,77,1977,https://open.spotify.com/album/6oU298pdPTCQnMx1PYwyUA,https://p.scdn.co/mp3-preview/49d04d4985d8a74c979808d5fc64500611e96ae4?cid=f9d64942f5f74f3282916225d2f77630,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,206267
8,8,Francisco Tarrega,Capricho Arabe,19LnUKbcwoy6pHm0PshRwT,43,2011-08-02,https://open.spotify.com/album/7I5Yne18UUq4T533rLOQIR,https://p.scdn.co/mp3-preview/6d63db2083ae234bd25e53afddfddee1eb3a62c4?cid=f9d64942f5f74f3282916225d2f77630,0.384,0.0312,-27.672,0.0593,0.992,0.926,0.0805,0.179,101.876,368893
9,9,Pachelbel,Canon In C,1Mse9NKBbEASi50CQ4aYhr,55,1986,https://open.spotify.com/album/5YCuibCDJrkVcS3UOAYqr9,https://p.scdn.co/mp3-preview/eaec965ecde7c7b9f51b63ed956491e4202ea407?cid=f9d64942f5f74f3282916225d2f77630,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587
10,10,Frank Sinatra,Fly Me To The Moon ,5b7OgznPJJr1vHNYGyvxau,71,1962-12-10,https://open.spotify.com/album/2NCtCObbmJoJnplsR5mLAl,,0.668,0.26,-14.256,0.0523,0.453,0,0.0621,0.368,119.416,147000
11,11,Marilyn Manson,Sweet Dreams,3D0bXrSv7O73vOaGOG8J9c,65,1995,https://open.spotify.com/album/5XiQM9S9V3XL03xxmIMPeb,,0.222,0.664,-5.242,0.0379,0.0039,0.65,0.239,0.101,186.044,293293
12,12,Van Halen,Panama,05RgAMGypEvqhNs5hPCbMS,73,1984-01-04,https://open.spotify.com/album/3REUXdj5OPKhuDTrTtCBU0,https://p.scdn.co/mp3-preview/1c64b276e2c9eba46fb0b6c36898b46692e336b9?cid=f9d64942f5f74f3282916225d2f77630,0.526,0.978,-5.436,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227
13,13,Johnny Cash,Hurt,28cnXtME493VX9NOw9cIUh,73,2002-01-01,https://open.spotify.com/album/2BlL4Gv2DLPu8p58Wcmlm9,,0.534,0.392,-7.636,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533
14,14,Metallica,Nothing Else Matters ,2CtemffYhT0DJWcT1XW047,71,1991-08-12,https://open.spotify.com/album/55fq75UfkYbGMq4CncCtOH,https://p.scdn.co/mp3-preview/27f75df2e12c0811c4e0d544e994c8dd58a4af81?cid=f9d64942f5f74f3282916225d2f77630,0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,388733
15,15,Kaare Norge,Nocturne Op. 9 No. 2 ,,,,,,,,,,,,,,,
16,16,Dire Straits,Sultans Of Swing,6cr6UDpkjEaMQ80OjWqEBQ,67,1978-10-07,https://open.spotify.com/album/4dKdxly4ji1vfl7sEYuqBe,https://p.scdn.co/mp3-preview/adaf79aa57a8ce9b906f6f5ff3a99382301022a5?cid=f9d64942f5f74f3282916225d2f77630,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400
17,17,Papa Roach,Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,79,2001-04-25,https://open.spotify.com/album/0BHa0ePkvGAVKymB4FU58m,,0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907
18,18,Metallica,Orion,4xyWJM4kscTROV2RESdwpd,55,1986-03-03,https://open.spotify.com/album/7CGhx630DIjdJqaBDVKc5j,https://p.scdn.co/mp3-preview/235cc7cee32efb98d4257bdf89b9834c71759705?cid=f9d64942f5f74f3282916225d2f77630,0.367,0.672,-10.014,0.0378,0.0013,0.899,0.111,0.382,128.497,507227
19,19,Slash,Anastasia,7JJ22vCP45tMhZnAH4Sp1e,50,2012-01-01,https://open.spotify.com/album/7I6aSAwCcgyucLoggiV74n,,0.442,0.939,-5.461,0.0445,0.000673,0.00149,0.117,0.479,100.561,367280
